"CAMIS","DBA","BORO","ZIPCODE","totalscores"
50061389,"TACK'S CHINESE TAKE OUT","STATEN ISLAND",10314,196
41516263,"NO QUARTER","BROOKLYN",11209,92
50058069,"HENRI'S BACKYARD","BROOKLYN",11215,468
40807238,"RICHMOND COUNTY COUNTRY CLUB","STATEN ISLAND",10304,33
41006018,"THE FIVE SPOT","BROOKLYN",11205,377
50017063,"MEZQUITE","QUEENS",11103,61
40743578,"EL RUMBERO BAR RESTAURANT","QUEENS",11372,58
41454995,"MANOLO TAPAS RESTAURANT","MANHATTAN",10033,60
41278299,"LEMON LEAVES","MANHATTAN",10005,451
41704194,"THE BREAD FACTORY","MANHATTAN",10019,225
40782999,"WENDY'S","STATEN ISLAND",10314,16
41263738,"MEXICAN FAST FOOD","BRONX",10468,459
41313211,"AFRICAN AMERICAN BEST FOOD","MANHATTAN",10037,187
50015102,"ENZO'S PIZZERIA","BROOKLYN",11235,119
41363184,"BEAN N BEAN","MANHATTAN",10006,32
41177037,"QUEEN'S PIZZA","QUEENS",11375,150
50046939,"ARMANDO'S PIZZA","BROOKLYN",11234,36
41284638,"MCDONALD'S","MANHATTAN",10035,12
50019199,"TOKYO BAY","BROOKLYN",11209,309
41083735,"PLAZA TULCINGO RESTAURANT","BRONX",10452,650
41081535,"EDDIE JR'S SPORT LOUNGE","BROOKLYN",11211,95
40927789,"THE BAYHOUSE","QUEENS",11697,5
41253406,"PUNJABI INDIAN & AMERICAN RESTAURANT","QUEENS",11358,57
50001889,"UMAMI BURGER","MANHATTAN",10011,161
41059709,"DUNKIN' DONUTS, BASKIN ROBBINS","BRONX",10452,46
41485255,"TOASTIES CAFE","MANHATTAN",10022,203
50059979,"SHANGHAI FAMILY DUMPLING","BROOKLYN",11220,177
50000223,"EL MANABA RESTAURANT","QUEENS",11385,37
41664787,"THE COBRA CLUB","BROOKLYN",11237,41
41464967,"OAXACA MEXICAN GRILL","MANHATTAN",10003,86
50050729,"EL MEKKAH BAR & GRILL","BROOKLYN",11237,128
40918262,"FRIEND'S PIZZA CAFE","BROOKLYN",11215,76
50062525,"SHEILA'S","BROOKLYN",11231,252
40993590,"CARIDAD","MANHATTAN",10024,306
50015448,"BUDDY BUDDY INC","QUEENS",11354,375
41279817,"MOTHER'S","BROOKLYN",11211,461
40387237,"LIVE BAIT BAR & RESTAURANT","MANHATTAN",10010,200
41502571,"CHIFA RESTAURANT","QUEENS",11372,159
41708729,"ENERGY FUEL CAFE","BROOKLYN",11215,154
41575411,"GOLDEN KRUST CARIBBEAN BAKERY & GRILL","BROOKLYN",11225,255
40859658,"KIMCHEE KOREAN RESTAURANT","BROOKLYN",11209,67
50005592,"J R SUSHI","MANHATTAN",10007,50
50017311,"OFF TO START CAFE","BROOKLYN",11215,12
50002403,"LA BELLEZZA PIZZERIA","MANHATTAN",10007,571
50009118,"BEAUTIQUE","MANHATTAN",10019,402
50042118,"VIV RESTAURANT","MANHATTAN",10019,285
40885643,"APPLEBEE'S","BROOKLYN",11235,117
41566063,"BIERHAUS","MANHATTAN",10017,130
41584249,"THE BURGER GURU","BROOKLYN",11249,157
41131819,"REVEL ITM GARDEN","MANHATTAN",10014,168
41608396,"VAI","MANHATTAN",10024,35
40361708,"BULLY'S DELI","MANHATTAN",10003,86
50016060,"SENN THAI COMFORT FOOD","MANHATTAN",10024,310
50005160,"FAMOUS FAMIGLIA PIZZERIA","QUEENS",11372,162
40391562,"COLLADO RESTAURANT","BROOKLYN",11221,152
41017916,"AIRWAYS PIZZA & GYRO RESTAURANT","QUEENS",11369,74
40378136,"BROADWAY RESTAURANT","MANHATTAN",10025,934
41556342,"IBAKERY","BROOKLYN",11220,1065
41512057,"LA BERGAMOTE","MANHATTAN",10011,123
41532740,"EXQUISITE RESTAURANT","BROOKLYN",11210,28
50042727,"LLAMA INN","BROOKLYN",11211,103
50044565,"JUST COMBO RESTAURANT","QUEENS",11105,276
50042465,"TAVARES RESTAURANT","BROOKLYN",11208,348
50046023,"BLENDED-UP JUICE, SMOOTHIES & SALAD BAR","BRONX",10472,170
41256599,"HARRY'S ITALIAN","MANHATTAN",10038,267
50012426,"ALPHAVILLE","BROOKLYN",11237,531
50055396,"MCDONALD'S","MANHATTAN",10012,167
50043397,"BARCELONA BITES GASTRO CLUB","BRONX",10471,300
50047979,"MAMASUSHI","MANHATTAN",10031,84
40803550,"BAKER STREET PUB","MANHATTAN",10065,111
41621807,"WEI WEST/BEANS & GREENS","MANHATTAN",10282,118
40727820,"HOUSING WORKS FOOD","MANHATTAN",10012,205
41677452,"GYRO UNO","QUEENS",11103,93
50061233,"ARTICHOKE BASILLE'S PIZZA","MANHATTAN",10003,26
50040957,"PRINCE TEA HOUSE","BROOKLYN",11220,24
41164472,"RESTAURANTE ECUATORIANO GENESIS","MANHATTAN",10034,266
40989220,"NHA TRANG RESTAURANT","MANHATTAN",10013,110
40576810,"JERK HUT","QUEENS",11413,39
50006614,"HUERTAS","MANHATTAN",10003,45
41149249,"SQUIRE DINER","MANHATTAN",10038,424
41387129,"B'KLYN'S PIZZA JOINT","BROOKLYN",11228,47
41702100,"THE THIRSTY KOALA","QUEENS",11105,84
50063072,"THAI POT","QUEENS",11375,270
50057838,"ISLAND COCINA","STATEN ISLAND",10301,209
50057140,"PINSTIPES SPORTS BAR & GRILL","BRONX",10462,72
50051372,"CARNEGIE CUP CAFE","MANHATTAN",10128,128
50033451,"INDUSTRY KITCHEN","MANHATTAN",10005,148
40625816,"THE FITZ","MANHATTAN",10022,43
